대분류(1),분류(1),구분(1),2016,2017,2018,2019,2020
종로구,종로구,공공 기관,4.9,5.49,4.23,5.07,5.13
중구,중구,공공 기관,4.89,5.29,5.67,5.24,5.28
용산구,용산구,공공 기관,4.92,5.05,5.64,5.15,5.37
성동구,성동구,공공 기관,4.73,5.24,5.01,5.26,5.37
광진구,광진구,공공 기관,5.12,5.13,5.88,5.81,5.56
동대문구,동대문구,공공 기관,4.79,4.76,4.66,4.83,5.67
중랑구,중랑구,공공 기관,5.05,5.25,5.7,5.52,5.48
성북구,성북구,공공 기관,5.06,4.82,4.98,4.91,5.27
강북구,강북구,공공 기관,5.04,5.45,5.66,4.81,5.6
도봉구,도봉구,공공 기관,5.24,5.22,5.42,5.79,5.53
노원구,노원구,공공 기관,5.38,5.1,5.4,5.58,5.17
은평구,은평구,공공 기관,5.67,4.96,4.99,4.91,5.08
서대문구,서대문구,공공 기관,5.17,4.86,5.27,5.04,5.11
마포구,마포구,공공 기관,5.26,4.68,5.79,5.63,5.16
양천구,양천구,공공 기관,5.13,4.75,5.5,5.81,5.45
강서구,강서구,공공 기관,5.18,5.13,5.24,5.82,5.59
구로구,구로구,공공 기관,5.13,5.68,5.75,5.48,5.21
금천구,금천구,공공 기관,5.4,5.03,5.9,5.72,5.84
영등포구,영등포구,공공 기관,5.17,5.65,5.58,5.55,5.09
동작구,동작구,공공 기관,4.95,4.72,4.84,4.94,5.42
관악구,관악구,공공 기관,4.95,5.78,5.84,5.44,5.39
서초구,서초구,공공 기관,4.69,5.51,5.19,5.12,5.31
강남구,강남구,공공 기관,4.97,5.45,5.89,5.55,5.5
송파구,송파구,공공 기관,4.92,4.92,5.48,5.74,5.59
강동구,강동구,공공 기관,4.82,5.64,4.3,5.69,5.55
