시군구별(1),합계,합계,합계,합계,합계,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,시세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세,구세
시군구별(1),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,취득세,취득세,취득세,취득세,취득세,등록면허세,등록면허세,등록면허세,등록면허세,등록면허세,레저세,레저세,레저세,레저세,레저세,지방소비세,지방소비세,지방소비세,지방소비세,지방소비세,지역자원시설세,지역자원시설세,지역자원시설세,지역자원시설세,지역자원시설세,지방교육세,지방교육세,지방교육세,지방교육세,지방교육세,주민세,주민세,주민세,주민세,주민세,지방소득세,지방소득세,지방소득세,지방소득세,지방소득세,재산세,재산세,재산세,재산세,재산세,자동차세,자동차세,자동차세,자동차세,자동차세,담배소비세,담배소비세,담배소비세,담배소비세,담배소비세,도축세,도축세,도축세,도축세,도축세,도시계획세,도시계획세,도시계획세,도시계획세,도시계획세,과년도수입,과년도수입,과년도수입,과년도수입,과년도수입,소계,소계,소계,소계,소계,등록면허세,등록면허세,등록면허세,등록면허세,등록면허세,지방소비세,주민세,주민세,주민세,주민세,주민세,지방소득세,지방소득세,지방소득세,지방소득세,지방소득세,재산세,재산세,재산세,재산세,재산세,과년도수입,과년도수입,과년도수입,과년도수입,과년도수입
시군구별(1),2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020
종로구,707522459,784938780,893656953,937809821,975053926,648800007,725810145,831150071,870591124,895087153,137454177,156107462,189745963,185602111,208958466,0,0,0,0,0,4143084,4024663,4029018,3974651,553188,0,0,0,0,0,11234329,11018374,11760890,11902875,12980315,35892799,38061107,43006125,41776928,46947777,38152070,39518872,41705373,44521845,45981805,331868615,381714222,440971174,473178087,464908814,76162144,81560858,86777724,95517488,101544177,9373647,9536450,9774336,9847024,9781106,0,0,0,0,0,0,0,0,0,0,-242,-254028,0,-16,0,4519384,4522165,3379468,4270131,3431505,58722452,59128635,62506882,67218697,79966773,19500297,18210023,18146952,17957511,26356102,1590000,0,0,0,0,0,0,0,0,0,0,38382767,40063702,43853009,48313562,51305830,839388,854910,506921,947624,714841
중구,1256127728,1264124615,1411350828,1655928475,1651563181,1165537163,1184612162,1322085290,1541617791,1536456018,243276878,211476391,227574555,379073861,348522983,0,0,0,0,0,1988142,1980953,2303402,2411594,623759,0,0,0,0,0,18117794,18583592,20698368,20440427,22255975,54974186,49935936,55788038,75848911,73698864,63472739,64523030,68164051,72465481,73134887,657635025,711985082,814325231,831371330,853522198,108792592,111378641,118947341,138909653,150956616,10946910,10686430,10458051,10433668,10353378,0,0,0,0,0,0,0,0,0,0,-110,0,0,-3672,0,6333007,4062107,3826253,10666538,3387358,90590565,79512453,89265538,114310684,115107163,32472307,21373480,27860057,42688301,35918191,538000,0,0,0,0,0,0,0,0,0,0,57476663,57373865,60811961,70927777,78071892,641595,765108,593520,694606,579080
용산구,598947376,746676480,692735897,712486006,1002792336,545487731,689462824,624867204,637874125,913776643,213768204,337162728,219695942,184767318,357600214,0,0,0,0,0,3969248,4204306,16023,0,0,0,0,0,0,0,7329643,7958306,9487096,9157050,9810393,43536729,53656154,48225743,48211624,67975785,12964421,14558828,17002233,18616204,19878723,159735278,159727244,204126019,233337945,296227003,83934718,91636202,104795936,121682709,140305610,14504278,15139505,16123780,16664838,17310348,0,0,0,0,0,0,0,0,0,0,-230,-27769,0,0,0,5745442,5447320,5394432,5436437,4668567,53459645,57213656,67868693,74611881,89015693,11508381,11389027,14687387,12397115,14829128,1777000,176,0,0,0,0,0,0,0,0,0,41242898,45208272,52439654,61543267,71749503,708190,616357,741652,671499,660062
성동구,396582949,503219698,516779535,530272967,730130655,357241525,460994156,470649261,476538446,662821894,149712020,226519028,211786752,194025658,329370245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6840100,7450454,8130302,8170815,8668850,30561864,38797713,39054323,40681646,56274247,10787781,11414512,12042226,13878198,13842216,77236444,86145115,101237716,107885389,129927328,59190093,65762671,73545580,86462637,99429675,17704830,18897329,19597002,20302615,20293142,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,5208438,6007334,5255360,5131488,5016191,39341424,42225542,46130274,53734521,67308761,13140453,12609192,13177088,14385382,18762956,2988000,-89,0,0,0,0,0,0,0,0,0,25791263,28869145,32539376,38992818,45192557,409797,747205,413810,356321,365248
광진구,320003716,364837202,409392219,391148203,434392830,286420194,330846645,371522836,352236461,388731367,109880977,136041863,162949053,135655185,167998492,0,0,0,0,0,2865003,8139084,5510899,6128953,720105,0,0,0,0,0,6037815,5984814,6359068,6267430,6347971,26127208,31409153,33760119,32702997,34337906,5514286,5753621,5943526,6124759,6078023,57416028,62576702,71222193,72827680,75468107,54422742,57303570,61752141,67889511,74984749,17805348,18460175,18685944,19138330,18752784,0,0,0,0,0,0,0,0,0,0,-78,-13,0,0,0,6350865,5177676,5339893,5501616,4043230,33583522,33990557,37869383,38911742,45661463,9232927,8825264,10622830,9124351,9291621,3342000,0,0,0,0,0,0,0,0,0,0,23442958,24725185,26741845,29370580,32736450,907637,440108,504708,416811,291392
동대문구,333335470,348706313,386297987,384482906,418400622,299844294,316863389,352109906,349322358,375312179,106217956,119055794,146161545,135461062,170984431,0,0,0,0,0,23497217,22336634,22052449,21072407,4212099,0,0,0,0,0,6605319,6622127,6848358,6667949,6928646,33497181,34466294,37602861,36608882,34496253,7021536,7390062,7984572,8021915,8440022,45926632,49261885,51320830,56425614,59507775,51953583,54377042,58056423,62250981,68342243,17064179,17653943,17677922,18154230,18247007,0,0,0,0,0,0,0,0,0,0,-2888,-364,0,-35,0,8063579,5699972,4404946,4659353,4153703,33491176,31842924,34188081,35160548,43088443,9404006,8168110,9092792,8785165,10175369,3883000,0,0,0,0,0,0,0,0,0,0,22212422,23112526,24773556,26086750,28610933,1874748,562288,321733,288633,419141
중랑구,264944651,252708042,257920510,272915013,323529826,242400340,230914762,235099097,247771064,291974350,107842682,93594662,92966324,98867875,149014933,0,0,0,0,0,15550292,15582676,15790888,14765246,3076704,0,0,0,0,0,4099950,4143642,4322756,4467416,4731708,26482688,25781323,26169331,27153520,26962938,3929389,3878302,4283837,4430770,4412110,23997445,25405236,27161835,29166759,32232556,36920787,38827503,41013394,44866153,47737941,17408159,18218722,18432927,18562784,18874180,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,6168948,5482702,4957805,5490541,4931280,22544311,21793280,22821413,25143949,31555476,7356457,6112098,6263842,6783766,7922798,4510000,0,0,0,0,0,0,0,0,0,0,14759871,15317480,16219742,17782920,18840245,427983,363702,337829,577263,282433
성북구,331294959,347738713,397313736,408127362,459382747,299558823,315703483,363964618,371059883,413462837,116206135,119605748,123486626,140991740,180507856,0,0,0,0,0,6639398,6084110,5868695,5582605,1317701,0,0,0,0,0,5696651,5691618,5864914,6373706,6431687,28747750,29127287,29719452,32305790,35592451,4398766,4715386,5247646,5499185,5677660,55482652,64407821,104564723,83999586,80520471,53692029,56749359,60607948,67020226,73061388,21650933,22246356,22089222,22671441,23526290,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,7044512,7075798,6515392,6615604,6827333,31736136,32035230,33349118,37067479,45919910,9235978,8199995,7885425,8912063,10095129,5039000,0,0,0,0,0,0,0,0,0,0,21839262,23079989,24857088,27573885,30133097,660896,755246,606605,581531,652684
