연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
2017_종로구,4057,7,10,253,1644,2143,164257,23.91,1.380175659,33,1,2,23,0,1,6,7.84939E+11,4778723.464,6869,11908,0.072496149,96.4,26030,0.158471176,5.49,4296,0.026154137,1225,51.23379339
2017_중구,4184,1,9,267,1846,2061,134593,9.96,2.710843373,27,0,2,18,1,1,5,1.26412E+12,9392201.786,13514,11382,0.084566062,98.1,21148,0.157125556,5.29,3966,0.029466614,838,84.13654618
2017_용산구,4060,1,5,327,1346,2381,244444,21.87,0.868770005,19,0,1,12,0,1,5,7.46676E+11,3054591.154,11179,17629,0.072118767,93.7,36488,0.149269362,5.05,5940,0.024300044,1831,83.7219936
2017_성동구,2767,1,3,132,1072,1559,312711,16.86,1.245551601,21,0,1,15,0,1,4,5.0322E+11,1609216.491,18551,12604,0.040305586,97.4,41152,0.131597545,5.24,7003,0.022394479,2103,124.7330961
2017_광진구,4646,6,13,261,2220,2146,372298,17.06,0.937866354,16,0,1,11,0,1,3,3.64837E+11,979960.1448,21819,21216,0.056986608,95.2,43790,0.117620831,5.13,7411,0.019906097,1112,65.18171161
2017_동대문구,3975,11,3,165,1547,2249,366011,14.22,1.969057665,28,0,1,21,0,1,5,3.48706E+11,952720.8554,25748,20374,0.055664994,100,55547,0.151763198,4.76,11300,0.030873389,1535,107.9465541
2017_중랑구,4571,5,3,172,1533,2858,412780,18.5,1.297297297,24,0,1,18,0,1,4,2.52708E+11,612209.9956,22318,8475,0.020531518,99.2,59189,0.143391153,5.25,15228,0.036891322,1047,56.59459459
2017_성북구,3434,7,8,173,1344,1902,455407,24.57,1.261701262,31,0,2,24,0,1,4,3.47739E+11,763577.8831,18533,15338,0.033679763,95.2,66121,0.145191005,4.82,12434,0.02730305,1940,78.95807896
2017_강북구,3393,8,7,208,1014,2156,328002,23.6,0.889830508,21,0,1,15,0,1,4,1.83419E+11,559199.8128,13898,6487,0.019777318,96,56437,0.172062975,5.45,14953,0.045588137,841,35.63559322
2017_도봉구,1999,1,3,104,633,1258,346234,20.67,0.774068699,16,0,1,10,0,1,4,1.93652E+11,559309.5132,16752,4145,0.011971672,96.2,53445,0.154360924,5.22,10625,0.030687339,542,26.22157716
