연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
2016_종로구,4459.000000 ,6.000000 ,12.000000 ,238.000000 ,1940.000000 ,2263.000000 ,161922.000000 ,23.910000 ,1.380176 ,33.000000 ,1.000000 ,2.000000 ,23.000000 ,0.000000 ,1.000000 ,6.000000 ,707522459000.000000 ,4369526.432480 ,6771.000000 ,11325.000000 ,0.069941 ,97.000000 ,24950.000000 ,0.154087 ,4.900000 ,4249.000000 ,0.026241 ,1066.000000 ,44.583856 
2016_중구,4584.000000 ,3.000000 ,8.000000 ,198.000000 ,2150.000000 ,2225.000000 ,134409.000000 ,9.960000 ,2.811245 ,28.000000 ,0.000000 ,2.000000 ,19.000000 ,1.000000 ,1.000000 ,5.000000 ,1256127728000.000000 ,9345562.633455 ,13494.000000 ,11312.000000 ,0.084161 ,98.700000 ,20388.000000 ,0.151686 ,4.890000 ,3972.000000 ,0.029552 ,565.000000 ,56.726908 
2016_용산구,4137.000000 ,4.000000 ,9.000000 ,251.000000 ,1489.000000 ,2384.000000 ,245102.000000 ,21.870000 ,0.868770 ,19.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,5.000000 ,598947376000.000000 ,2443665.804441 ,11209.000000 ,17080.000000 ,0.069685 ,94.100000 ,35547.000000 ,0.145029 ,4.920000 ,5978.000000 ,0.024390 ,1689.000000 ,77.229081 
2016_성동구,3026.000000 ,4.000000 ,3.000000 ,104.000000 ,1296.000000 ,1619.000000 ,307161.000000 ,16.860000 ,1.186240 ,20.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,0.000000 ,4.000000 ,396582949000.000000 ,1291124.032673 ,18218.000000 ,12151.000000 ,0.039559 ,98.300000 ,39140.000000 ,0.127425 ,4.730000 ,7221.000000 ,0.023509 ,1328.000000 ,78.766311 
2016_광진구,5322.000000 ,4.000000 ,11.000000 ,279.000000 ,2636.000000 ,2392.000000 ,372104.000000 ,17.060000 ,0.879250 ,15.000000 ,0.000000 ,1.000000 ,10.000000 ,0.000000 ,1.000000 ,3.000000 ,320003716000.000000 ,859984.617204 ,21807.000000 ,20314.000000 ,0.054592 ,95.800000 ,41292.000000 ,0.110969 ,5.120000 ,7588.000000 ,0.020392 ,657.000000 ,38.511137 
2016_동대문구,4787.000000 ,5.000000 ,10.000000 ,190.000000 ,1940.000000 ,2642.000000 ,370312.000000 ,14.220000 ,1.969058 ,28.000000 ,0.000000 ,1.000000 ,21.000000 ,0.000000 ,1.000000 ,5.000000 ,333335470000.000000 ,900147.632267 ,26050.000000 ,18512.000000 ,0.049990 ,100.100000 ,53301.000000 ,0.143935 ,4.790000 ,11585.000000 ,0.031284 ,1425.000000 ,100.210970 
2016_중랑구,5041.000000 ,8.000000 ,14.000000 ,164.000000 ,1691.000000 ,3164.000000 ,415677.000000 ,18.500000 ,1.297297 ,24.000000 ,0.000000 ,1.000000 ,18.000000 ,0.000000 ,1.000000 ,4.000000 ,264944651000.000000 ,637381.069917 ,22474.000000 ,8081.000000 ,0.019441 ,99.400000 ,55842.000000 ,0.134340 ,5.050000 ,15194.000000 ,0.036552 ,898.000000 ,48.540541 
2016_성북구,3744.000000 ,4.000000 ,8.000000 ,154.000000 ,1470.000000 ,2108.000000 ,461617.000000 ,24.580000 ,1.261188 ,31.000000 ,0.000000 ,2.000000 ,24.000000 ,0.000000 ,1.000000 ,4.000000 ,331294959000.000000 ,717683.618671 ,18781.000000 ,14247.000000 ,0.030863 ,95.500000 ,63878.000000 ,0.138379 ,5.060000 ,12888.000000 ,0.027919 ,1534.000000 ,62.408462 
2016_강북구,4229.000000 ,7.000000 ,5.000000 ,217.000000 ,1222.000000 ,2778.000000 ,330704.000000 ,23.600000 ,0.889831 ,21.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,4.000000 ,176213039000.000000 ,532842.176085 ,14015.000000 ,6197.000000 ,0.018739 ,96.700000 ,53964.000000 ,0.163179 ,5.040000 ,15325.000000 ,0.046341 ,840.000000 ,35.593220 
2016_도봉구,2438.000000 ,3.000000 ,5.000000 ,123.000000 ,866.000000 ,1441.000000 ,350272.000000 ,20.670000 ,0.774069 ,16.000000 ,0.000000 ,1.000000 ,10.000000 ,0.000000 ,1.000000 ,4.000000 ,186063482000.000000 ,531197.132514 ,16948.000000 ,3985.000000 ,0.011377 ,96.800000 ,50466.000000 ,0.144077 ,5.240000 ,10331.000000 ,0.029494 ,443.000000 ,21.432027 
2016_노원구,4543.000000 ,5.000000 ,6.000000 ,159.000000 ,1857.000000 ,2516.000000 ,571212.000000 ,35.440000 ,0.733634 ,26.000000 ,0.000000 ,1.000000 ,19.000000 ,0.000000 ,1.000000 ,5.000000 ,312648311000.000000 ,547341.986863 ,16119.000000 ,6449.000000 ,0.011290 ,94.900000 ,70819.000000 ,0.123980 ,5.380000 ,24889.000000 ,0.043572 ,1268.000000 ,35.778781 
2016_은평구,4501.000000 ,6.000000 ,9.000000 ,156.000000 ,1666.000000 ,2664.000000 ,495937.000000 ,29.700000 ,0.909091 ,27.000000 ,0.000000 ,2.000000 ,20.000000 ,0.000000 ,1.000000 ,4.000000 ,298677512000.000000 ,602248.898550 ,16696.000000 ,8065.000000 ,0.016262 ,94.800000 ,71304.000000 ,0.143776 ,5.670000 ,17644.000000 ,0.035577 ,2075.000000 ,69.865320 
2016_서대문구,3665.000000 ,6.000000 ,5.000000 ,175.000000 ,1503.000000 ,1976.000000 ,325871.000000 ,17.610000 ,1.022147 ,18.000000 ,1.000000 ,1.000000 ,11.000000 ,0.000000 ,1.000000 ,4.000000 ,316054342000.000000 ,969875.631768 ,18506.000000 ,13436.000000 ,0.041231 ,94.300000 ,47303.000000 ,0.145159 ,5.170000 ,7563.000000 ,0.023209 ,1179.000000 ,66.950596 
2016_마포구,5873.000000 ,4.000000 ,4.000000 ,399.000000 ,2527.000000 ,2939.000000 ,390887.000000 ,23.840000 ,1.048658 ,25.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,6.000000 ,614919307000.000000 ,1573138.290606 ,16394.000000 ,13360.000000 ,0.034179 ,92.100000 ,48060.000000 ,0.122951 ,5.260000 ,7717.000000 ,0.019742 ,970.000000 ,40.687919 
2016_양천구,4112.000000 ,5.000000 ,7.000000 ,131.000000 ,1719.000000 ,2250.000000 ,481845.000000 ,17.410000 ,1.378518 ,24.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,5.000000 ,422857191000.000000 ,877579.285870 ,27681.000000 ,8218.000000 ,0.017055 ,97.900000 ,51957.000000 ,0.107829 ,5.130000 ,10660.000000 ,0.022123 ,2026.000000 ,116.369902 
2016_강서구,5450.000000 ,9.000000 ,10.000000 ,275.000000 ,1952.000000 ,3204.000000 ,602104.000000 ,41.440000 ,0.482625 ,20.000000 ,0.000000 ,1.000000 ,13.000000 ,0.000000 ,1.000000 ,5.000000 ,582348358000.000000 ,967188.987285 ,14531.000000 ,11962.000000 ,0.019867 ,95.200000 ,70889.000000 ,0.117735 ,5.180000 ,21071.000000 ,0.034996 ,960.000000 ,23.166023 
2016_구로구,5366.000000 ,9.000000 ,10.000000 ,273.000000 ,1910.000000 ,3164.000000 ,449600.000000 ,20.120000 ,1.341948 ,27.000000 ,0.000000 ,1.000000 ,19.000000 ,0.000000 ,1.000000 ,6.000000 ,392716313000.000000 ,873479.343861 ,22347.000000 ,48279.000000 ,0.107382 ,98.900000 ,55159.000000 ,0.122685 ,5.130000 ,8660.000000 ,0.019262 ,1719.000000 ,85.437376 
2016_금천구,3645.000000 ,6.000000 ,7.000000 ,175.000000 ,1264.000000 ,2193.000000 ,254654.000000 ,13.020000 ,1.152074 ,15.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,0.000000 ,2.000000 ,324783047000.000000 ,1275389.536391 ,19560.000000 ,29660.000000 ,0.116472 ,103.800000 ,31976.000000 ,0.125566 ,5.400000 ,9545.000000 ,0.037482 ,1090.000000 ,83.717358 
2016_영등포구,6322.000000 ,13.000000 ,19.000000 ,356.000000 ,2341.000000 ,3593.000000 ,406779.000000 ,24.530000 ,0.896861 ,22.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,5.000000 ,1021628347000.000000 ,2511507.100907 ,16583.000000 ,55427.000000 ,0.136258 ,99.900000 ,51186.000000 ,0.125832 ,5.170000 ,8044.000000 ,0.019775 ,1140.000000 ,46.473706 
